Source,Target,Weight,Type
1914-29,16,0.11801242,undirected
1914-29,20,0.02484472,undirected
1914-29,21,0.068322981,undirected
1914-29,22,0.043478261,undirected
1914-30,0,0.040462428,undirected
1914-30,1,0.01734104,undirected
1914-30,2,0.075144509,undirected
1914-30,7,0.069364162,undirected
1914-30,10,0.0057803468,undirected
1914-30,11,0.0057803468,undirected
1914-30,14,0.011560694,undirected
1914-30,15,0.034682081,undirected
1914-30,16,0.023121387,undirected
1914-30,21,0.0057803468,undirected
1914-30,22,0.046242775,undirected
1914-30,23,0.023121387,undirected
1915-1,22,0.25,undirected
1915-2,4,0.076923077,undirected
1915-2,5,0.010989011,undirected
1915-2,7,0.14285714,undirected
1915-2,9,0.021978022,undirected
1915-2,11,0.12087912,undirected
1915-2,13,0.010989011,undirected
1915-2,15,0.021978022,undirected
1915-2,21,0.10989011,undirected
1915-3,3,0.0068027211,undirected
1915-3,6,0.020408163,undirected
1915-3,11,0.1292517,undirected
1915-3,13,0.034013605,undirected
1915-3,14,0.068027211,undirected
1915-3,15,0.06122449,undirected
1915-3,21,0.06122449,undirected
1915-3,22,0.034013605,undirected
1915-4,0,0.029411765,undirected
1915-4,5,0.058823529,undirected
1915-4,9,0.029411765,undirected
1915-4,10,0.014705882,undirected
1915-4,11,0.14705882,undirected
1915-4,13,0.029411765,undirected
1915-4,14,0.014705882,undirected
1915-4,21,0.14705882,undirected
1915-5,0,0.003058104,undirected
1915-5,4,0.003058104,undirected
1915-5,7,0.079510703,undirected
1915-5,10,0.082568807,undirected
1915-5,11,0.13149847,undirected
1915-5,15,0.091743119,undirected
1915-5,16,0.018348624,undirected
1915-5,17,0.003058104,undirected
1915-5,20,0.006116208,undirected
1915-5,21,0.058103976,undirected
1915-5,22,0.0091743119,undirected
1915-6,2,0.04491018,undirected
1915-6,7,0.062874251,undirected
1915-6,11,0.17664671,undirected
1915-6,12,0.026946108,undirected
1915-6,13,0.0089820359,undirected
1915-6,15,0.017964072,undirected
1915-6,16,0.026946108,undirected
1915-6,17,0.032934132,undirected
1915-6,18,0.005988024,undirected
1915-6,19,0.0089820359,undirected
1915-6,22,0.05988024,undirected
1915-7,1,0.018018018,undirected
1915-7,7,0.18018018,undirected
1915-7,10,0.081081081,undirected
1915-7,11,0.099099099,undirected
1915-7,13,0.018018018,undirected
1915-7,15,0.045045045,undirected
1915-7,16,0.027027027,undirected
1915-7,20,0.036036036,undirected
1915-7,21,0.009009009,undirected
1915-8,1,0.03125,undirected
1915-8,4,0.03125,undirected
1915-8,11,0.25,undirected
1915-8,20,0.09375,undirected
1915-9,4,0.04516129,undirected
1915-9,7,0.096774194,undirected
1915-9,10,0.051612903,undirected
1915-9,11,0.012903226,undirected
1915-9,12,0.038709677,undirected
1915-9,15,0.064516129,undirected
1915-9,17,0.083870968,undirected
1915-9,19,0.025806452,undirected
1915-9,20,0.0064516129,undirected
1915-9,21,0.038709677,undirected
1915-9,22,0.04516129,undirected
1915-10,1,0.0076923077,undirected
1915-10,2,0.053846154,undirected
1915-10,4,0.061538462,undirected
1915-10,7,0.076923077,undirected
1915-10,10,0.0076923077,undirected
1915-10,11,0.20769231,undirected
1915-10,12,0.030769231,undirected
1915-10,15,0.069230769,undirected
1915-10,21,0.023076923,undirected
1915-10,24,0.0076923077,undirected
1915-11,0,0.012195122,undirected
1915-11,1,0.016260163,undirected
1915-11,2,0.016260163,undirected
1915-11,4,0.024390244,undirected
1915-11,7,0.081300813,undirected
1915-11,8,0.0040650407,undirected
1915-11,11,0.10162602,undirected
1915-11,12,0.012195122,undirected
1915-11,13,0.012195122,undirected
1915-11,14,0.0040650407,undirected
1915-11,20,0.056910569,undirected
1915-11,22,0.089430894,undirected
1915-11,23,0.0081300813,undirected
1915-12,1,0.011173184,undirected
1915-12,2,0.05027933,undirected
1915-12,4,0.022346369,undirected
1915-12,5,0.039106145,undirected
1915-12,11,0.11173184,undirected
1915-12,12,0.055865922,undirected
1915-12,14,0.011173184,undirected
1915-12,15,0.0055865922,undirected
1915-12,16,0.044692737,undirected
1915-12,18,0.016759777,undirected
1915-12,22,0.083798883,undirected
1915-13,1,0.031446541,undirected
1915-13,4,0.012578616,undirected
1915-13,7,0.06918239,undirected
1915-13,10,0.018867925,undirected
1915-13,11,0.075471698,undirected
1915-13,14,0.0062893082,undirected
1915-13,15,0.081761006,undirected
1915-13,16,0.062893082,undirected
1915-13,18,0.031446541,undirected
1915-13,22,0.031446541,undirected
1915-14,0,0.015384615,undirected
1915-14,1,0.046153846,undirected
1915-14,2,0.015384615,undirected
1915-14,4,0.12307692,undirected
1915-14,8,0.015384615,undirected
1915-14,14,0.076923077,undirected
1915-14,16,0.076923077,undirected
1915-14,22,0.015384615,undirected
1915-14,24,0.030769231,undirected
1915-15,0,0.057692308,undirected
1915-15,1,0.0096153846,undirected
1915-15,4,0.10576923,undirected
1915-15,6,0.043269231,undirected
1915-15,8,0.014423077,undirected
1915-15,9,0.014423077,undirected
1915-15,11,0.0096153846,undirected
1915-15,14,0.24038462,undirected
1915-15,17,0.0096153846,undirected
1915-15,22,0.0048076923,undirected
1915-15,24,0.0625,undirected
1915-16,1,0.062146893,undirected
1915-16,2,0.06779661,undirected
1915-16,6,0.056497175,undirected
1915-16,11,0.056497175,undirected
1915-16,14,0.2259887,undirected
1915-16,16,0.016949153,undirected
1915-16,17,0.04519774,undirected
1915-17,1,0.01010101,undirected
1915-17,4,0.11111111,undirected
1915-17,9,0.01010101,undirected
1915-17,11,0.12121212,undirected
1915-17,14,0.11111111,undirected
1915-17,19,0.02020202,undirected
1915-17,21,0.050505051,undirected
1915-17,22,0.050505051,undirected
1915-18,1,0.090909091,undirected
1915-18,2,0.045454545,undirected
1915-18,11,0.18181818,undirected
1915-18,15,0.045454545,undirected
1915-18,17,0.090909091,undirected
1915-19,4,0.062827225,undirected
1915-19,5,0.015706806,undirected
1915-19,6,0.02617801,undirected
1915-19,7,0.015706806,undirected
1915-19,11,0.073298429,undirected
1915-19,14,0.083769634,undirected
1915-19,16,0.057591623,undirected
1915-19,17,0.057591623,undirected
1915-19,18,0.0052356021,undirected
1915-19,22,0.020942408,undirected
1915-19,24,0.041884817,undirected
1915-20,2,0.0054054054,undirected
1915-20,14,0.12972973,undirected
1915-20,15,0.010810811,undirected
1915-20,18,0.010810811,undirected
1915-20,24,0.58918919,undirected
1915-21,4,0.078571429,undirected
1915-21,6,0.071428571,undirected
1915-21,7,0.028571429,undirected
1915-21,8,0.0071428571,undirected
1915-21,14,0.10714286,undirected
1915-21,17,0.1,undirected
1915-21,18,0.014285714,undirected
1915-21,22,0.0071428571,undirected
1915-21,24,0.064285714,undirected
1915-22,7,0.024193548,undirected
1915-22,9,0.064516129,undirected
1915-22,14,0.088709677,undirected
1915-22,16,0.032258065,undirected
1915-22,17,0.12096774,undirected
1915-22,22,0.016129032,undirected
1915-22,24,0.32258065,undirected
1915-23,1,0.024242424,undirected
1915-23,4,0.012121212,undirected
1915-23,5,0.012121212,undirected
1915-23,7,0.042424242,undirected
1915-23,8,0.0060606061,undirected
1915-23,11,0.096969697,undirected
1915-23,14,0.0060606061,undirected
1915-23,16,0.036363636,undirected
