word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
legislation,0,0,0,0.010728956,0,0,0,0,0,0,0,0.00034602076,0,0.009698912,0,0.0097486493,0,0,0.0059287054,0,0,0,0,0,0.003207331
regard,0,0.0016246259,0,0,0.00051697398,0,0,0,0,0,0,0,0.0021666516,0,0,0,0,0,0.0012007505,0.00098065436,0,0,0,0,0
regulation,0.001990644,0,0,0.0020231745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,0.015726087,0,0,0,0,0,0,0,0,0,0.0039927872,0,0,0.0014337522,0,0,0,0,0.0054033771,0,0,0.0088448423,0,0,0
virtually,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032099294,0,0,0,0,0.001172208,0,0,0
complete,0,0.00025651988,0,0,0.0024125452,0,0,0.000091591867,0,0,0,0,0,0,0,0,0,0,0.0024015009,0.00089150397,0,0.0026641091,0,0,0
put,0,0,0.0017079419,0,0.0041357918,0,0,0,0.0013867221,0.0019308261,0.00045079856,0,0.0022569288,0,0.0007846654,0,0,0,0,0,0.0022900763,0.0020247229,0,0,0.0024054983
forth,0,0,0,0,0,0,0,0.00036636747,0,0,0,0,0.00027083145,0.00059036856,0,0,0,0,0,0,0,0,0,0,0.0013745704
intended,0.00069672539,0,0,0,0,0,0,0,0,0.00025184688,0,0,0.00054166291,0,0,0,0,0,0,0,0,0,0,0,0
whole,0.0073653827,0,0,0,0,0,0,0.0028393479,0,0.00050369375,0.00057959815,0,0,0,0.0023539962,0,0,0,0,0,0,0,0.000093940817,0,0.0087056128
leaves,0,0,0,0,0,0,0,0,0,0,0,0.00023068051,0,0,0,0,0,0,0,0,0,0.00053282182,0.00046970409,0,0
conjecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021312873,0,0,0
follow,0.0016920474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031029317,0,0,0.00098065436,0,0,0,0,0
road,0.00079625759,0,0,0,0,0,0,0.0015570617,0,0,0,0,0,0,0,0,0.0037449176,0,0,0,0,0,0,0,0
lies,0,0,0,0,0.0016370843,0,0.00022284123,0,0,0,0,0,0,0,0,0,0,0,0,0.0019613087,0,0.00085251492,0,0,0
clear,0.0028864338,0.0065840103,0,0,0.0026710322,0,0,0.0014654699,0,0,0,0,0,0,0,0,0,0.001843318,0,0,0,0,0,0,0
firm,0,0,0,0,0,0,0.0018941504,0,0,0,0,0,0,0.0010963988,0,0,0,0.00023041475,0,0.00071320317,0,0,0,0,0
before,0,0,0.0048676345,0,0,0,0,0,0,0,0.0030267903,0,0,0,0.0048200874,0,0.0074898352,0,0.0036022514,0.014709815,0,0,0,0,0
travel,0,0,0,0,0.00094778563,0,0,0,0,0,0.00045079856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034364261
without,0.0056733353,0.0034202651,0,0,0.0024125452,0,0,0,0,0.000083948959,0.0015455951,0,0.013270741,0,0,0.0030537938,0,0,0.00052532833,0,0.0052480916,0.0034100597,0,0,0
fear,0,0,0,0,0.0012062726,0,0.00066852368,0.00091591867,0,0,0,0,0.000090277151,0,0,0,0.005135887,0,0,0.00098065436,0,0,0,0,0
embarrassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002530151,0,0,0,0,0,0,0,0,0,0,0
ungrudged,0.000099532199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclouded,0.000099532199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
success,0.0010948542,0.0023086789,0,0.00098093311,0.00077546097,0,0.0013370474,0,0,0.0013431833,0,0,0,0,0,0,0,0,0,0.00098065436,0,0.002344416,0,0.00043182554,0
honest,0.00089578979,0,0,0,0.0018955713,0,0,0,0,0,0,0,0,0,0,0,0.00064198588,0,0,0,0,0,0,0,0
man,0,0,0,0,0.0026710322,0,0,0,0,0.0017629281,0,0,0.0017152659,0,0,0,0,0,0,0.0034768655,0,0,0,0.002806866,0
believes,0,0,0.000085397096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080235357,0,0,0,0,0
public,0.0068677217,0,0,0.015265772,0,0,0,0,0,0,0,0,0.0025277602,0.005988024,0.0032507566,0,0,0,0.010581614,0,0.0021946565,0,0,0,0
interest,0,0,0,0.0031267243,0.0024125452,0,0.0030083565,0.00064114307,0,0,0.0061823802,0,0,0.0048916252,0.0034749468,0,0,0,0,0,0,0,0,0,0
his,0,0.00076955964,0,0,0,0,0,0,0,0.0010073875,0,0,0,0,0,0,0,0,0,0.020593742,0,0,0.000093940817,0.01403433,0
may,0.0038817557,0.00068405301,0,0,0.00068929864,0,0,0,0,0,0,0,0.0082152207,0,0,0,0.0060988658,0,0.0090056285,0.0058839262,0,0,0.0005636449,0,0.010767468
walk,0.0002985966,0,0,0,0.0016370843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00086365108,0
perfect,0.0015925152,0,0.0010247652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confidence,0,0,0.00034158839,0,0.0042219542,0,0,0,0,0.00075554063,0.00051519835,0,0,0,0,0.00023490721,0.00096297881,0,0,0.0057947758,0,0,0,0,0
moreover,0,0,0,0.00036784992,0.00043081165,0,0,0.000091591867,0,0,0,0,0,0.00059036856,0,0,0,0,0,0.0012481056,0,0,0,0,0.00022909507
thoughts,0,0,0,0,0,0,0,0,0,0.00050369375,0,0,0,0,0.00044838023,0,0,0,0,0,0,0,0,0,0
